415;46;789;1048;129;1; ; 72.7 ; 72.7
356;37;804;1079;117;1; ; 75.4 ; 75.4
306;33;831;1106;139;1; ; 59.1 ; 59.1
414;47;786;1045;126;2; ; 77.6 ; 77.6
358;38;809;1085;123;2; ; 79.8 ; 79.8
306;33;831;1107;122;2; ; 57.4 ; 57.4
316;52;778;1116;137;3; ; 73.8 ; 73.8
327;55;835;1076;124;3; ; 76.5 ; 76.5
351;55;818;1068;121;3; ; 76.8 ; 76.8
321;54;841;1049;128;3; ; 69.5 ; 69.5
320;54;860;1018;131;3; ; 66.5 ; 66.5
348;40;834;1043;126;1; ; 68.7 ; 68.7
321;55;844;1055;128;3; ; 65.5 ; 65.5
321;55;842;1053;129;3; ; 66.9 ; 66.9
319;55;837;1046;121;4; ; 62.1 ; 62.1
317;48;833;1041;128;5; ; 79.3 ; 79.3
304;45;870;1063;119;5; ; 72.8 ; 72.8
302;45;868;1059;119;5; ; 75.5 ; 75.5
301;45;863;1052;118;6; ; 67.6 ; 67.6
300;45;862;1052;119;6; ; 73.4 ; 73.4
280;50;880;1050;120;5; ; 70.3 ; 70.3
