350;1135;510;404;100; ; 266 ; 380
350;1135;510;404;100; ; 211.4 ; 349.6
200;1158;682;270;35; ; 114.0 ; 207.6
350;1110;561;424;040; ; 248.9 ; 351.6
350;1110;561;424;040; ; 174.2 ; 348.2
350;1214;627;473;100; ; 257.9 ; 346.3
350;1214;627;473;100; ; 271 ; 360.1
200;1210;806;270;30; ; 145.6 ; 209.5
100;1307;851;204;20; ; 64.7 ; 103.1
350;1214;627;473;100; ; 215.6 ; 332.6
350;1128;610;473;120; ; 238 ; 336.8
350;1128;610;473;120; ; 175.9 ; 351.6
350;1128;610;473;120; ; 210.5 ; 330.2
350;1128;610;473;120; ; 187.7 ; 330.6
200;1165;785;270;77; ; 145.6 ; 204.8
350;1128;610;473;120; ; 195.8 ; 330.6
300;1117;625;373;161; ; 174.6 ; 257
350;1224;504;473;180; ; 228 ; 362
350;1224;504;473;180; ; 260.3 ; 371
350;1224;504;473;180; ; 245.1 ; 348.2
350;1224;504;473;180; ; 270.8 ; 334.4
350;1224;504;473;180; ; 266.7 ; 351.6
350;1224;504;473;180; ; 191.4 ; 344.9
300;1117;624;373;161; ; 191.9 ; 294.1
200;1142;756;270;134; ; 135.9 ; 195.3
350;1224;504;473;180; ; 267.4 ; 343.9
350;1117;624;373;161; ; 154.9 ; 221.4
350;1224;504;473;180; ; 265.1 ; 345.4
350;1224;504;473;180; ; 295.5 ; 346.8
350;1224;500;510;100; ; 245.2 ; 348.2
350;1224;500;510;100; ; 284.1 ; 353
350;1224;500;510;100; ; 294.1 ; 346.8
