0 ; 1.0
1 ; 1.54030230587
2 ; 1.58385316345
3 ; 2.0100075034
4 ; 3.34635637914
5 ; 5.28366218546
6 ; 6.96017028665
7 ; 7.75390225434
8 ; 7.85449996619
9 ; 8.08886973812
10 ; 9.16092847092
11 ; 11.004425698
12 ; 12.8438539587
13 ; 13.9074467815
14 ; 14.1367372182
15 ; 14.2403120871
16 ; 15.0423405197
17 ; 16.7248366619
18 ; 18.6603167082
19 ; 19.9887046182
20 ; 20.4080820618
21 ; 20.4522707398
22 ; 21.0000391736
23 ; 22.4671669797
24 ; 24.4241790073
25 ; 25.9912028119
26 ; 26.6469193223
27 ; 26.7078611913
28 ; 27.0373941337
29 ; 28.2519424703
30 ; 30.1542514499
31 ; 31.9147423578
32 ; 32.8342233605
33 ; 32.9867232528
34 ; 33.1514297252
35 ; 34.0963077949
36 ; 35.8720363104
37 ; 37.7654140519
38 ; 38.955073644
39 ; 39.2666429324
40 ; 39.3330619383
41 ; 40.0126607225
42 ; 41.600014685
43 ; 43.5551133015
44 ; 44.9998433086
45 ; 45.5253219888
46 ; 45.5678220551
47 ; 46.0076645308
48 ; 47.3598556605
49 ; 49.3005925437
